impl,fc,m,n,k,groups,ktile,best_ms,best_us,gflops,config,log
int4_fp8,FC1,22,1024,4096,128,256,0.208731000,208.731000,113171.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m22_n1024_k4096_g128_k256.log
int4_fp8,FC1,22,1024,4096,128,512,0.211643000,211.643000,111614.000000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC1_m22_n1024_k4096_g128_k512.log
int4_fp8,FC2,1,4096,512,128,128,0.195461000,195.461000,2746.690000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m1_n4096_k512_g128_k128.log
int4_fp8,FC2,1,4096,512,128,256,0.202653000,202.653000,2649.220000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m1_n4096_k512_g128_k256.log
int4_fp8,FC2,1,4096,512,128,512,0.209849000,209.849000,2558.370000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m1_n4096_k512_g128_k512.log
int4_fp8,FC2,2,4096,512,128,128,0.195324000,195.324000,5497.220000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m2_n4096_k512_g128_k128.log
int4_fp8,FC2,2,4096,512,128,256,0.199598000,199.598000,5379.510000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m2_n4096_k512_g128_k256.log
int4_fp8,FC2,2,4096,512,128,512,0.211681000,211.681000,5072.460000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m2_n4096_k512_g128_k512.log
int4_fp8,FC2,4,4096,512,128,128,0.196577000,196.577000,10924.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m4_n4096_k512_g128_k128.log
int4_fp8,FC2,4,4096,512,128,256,0.197276000,197.276000,10885.700000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m4_n4096_k512_g128_k256.log
int4_fp8,FC2,4,4096,512,128,512,0.211239000,211.239000,10166.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m4_n4096_k512_g128_k512.log
int4_fp8,FC2,8,4096,512,128,128,0.194269000,194.269000,22108.400000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m8_n4096_k512_g128_k128.log
int4_fp8,FC2,8,4096,512,128,256,0.202688000,202.688000,21190.100000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=10",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m8_n4096_k512_g128_k256.log
int4_fp8,FC2,8,4096,512,128,512,0.211123000,211.123000,20343.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=5",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m8_n4096_k512_g128_k512.log
int4_fp8,FC2,12,4096,512,128,128,0.195921000,195.921000,32882.900000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=19",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/int4_fp8_FC2_m12_n4096_k512_g128_k128.log
